Age,Gender,Program,Course,English,Academic,Attendance,6,7,8,9,10,11,12,13,14,15,16,17,Score Range
18-20,F,FC,Art and Design,60%~70%,60%~70%,S0,Strong Disagree,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Disagree,Neither,Strong Disagree,Neither,Agree,Neither,Disagree,45+
18-20,F,FC,Law/Legal studies,>70%,>70%,S0,Neither,Neither,Neither,Neither,Agree,Neither,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,35-45
18-20,F,FC,Law/Legal studies,>70%,>70%,S0,Disagree,Disagree,Agree,Neither,Disagree,Disagree,Neither,Disagree,Agree,Disagree,Disagree,Neither,35-45
18-20,F,FC,Social Sciences and Humanities,50%~59%,60%~70%,S0,Agree,Disagree,Neither,Agree,Neither,Agree,Neither,Strong Agree,Disagree,Strong Agree,Disagree,Strong Disagree,25-35
21-25,F,PM,Business,50%~59%,50%~59%,S1,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,25-35
21-25,F,PM,Business,50%~59%,50%~59%,S1,Disagree,Disagree,Agree,Agree,Neither,Disagree,Disagree,Disagree,Neither,Strong Agree,Agree,Agree,35-45
21-25,F,PM,Art and Design,50%~59%,60%~70%,S2,Disagree,Neither,Neither,Neither,Neither,Disagree,Neither,Disagree,Agree,Neither,Neither,Neither,35-45
21-25,F,PM,Business,60%~70%,60%~70%,S0,Disagree,Strong Disagree,Strong Agree,Disagree,Agree,Disagree,Disagree,Strong Disagree,Agree,Agree,Disagree,Disagree,35-45
21-25,F,PM,Business,50%~59%,50%~59%,S0,Agree,Strong Agree,Agree,Neither,Agree,Disagree,Strong Agree,Disagree,Agree,Neither,Neither,Agree,35-45
21-25,F,PM,Business,>70%,60%~70%,S4,Strong Disagree,Strong Agree,Strong Agree,Strong Disagree,Strong Agree,Disagree,Strong Disagree,Disagree,Strong Agree,Strong Disagree,Agree,Strong Agree,45+
21-25,F,PM,Social Sciences and Humanities,>70%,>70%,S2,Neither,Disagree,Neither,Agree,Agree,Disagree,Neither,Strong Disagree,Strong Agree,Neither,Agree,Agree,35-45
21-25,F,PM,Business,50%~59%,60%~70%,S0,Disagree,Neither,Agree,Neither,Agree,Strong Disagree,Agree,Neither,Agree,Disagree,Agree,Neither,35-45
21-25,F,PM,Business,60%~70%,60%~70%,S0,Disagree,Agree,Disagree,Neither,Agree,Agree,Disagree,Disagree,Neither,Neither,Disagree,Agree,35-45
21-25,F,PM,Business,60%~70%,60%~70%,S0,Disagree,Neither,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neither,Agree,35-45
21-25,F,PM,Business,60%~70%,50%~59%,S0,Neither,Disagree,Agree,Neither,Agree,Neither,Agree,Neither,Disagree,Agree,Agree,Agree,25-35
21-25,F,PM,Business,60%~70%,60%~70%,S0,Neither,Disagree,Agree,Agree,Agree,Agree,Neither,Neither,Disagree,Agree,Neither,Disagree,25-35
>36,F,IYO,Social Sciences and Humanities,40%~49%,40%~49%,S3,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,35-45
21-25,F,PM,Business,50%~59%,60%~70%,S0,Disagree,Disagree,Agree,Disagree,Neither,Disagree,Disagree,Strong Disagree,Disagree,Agree,Disagree,Agree,35-45
18-20,F,PM,Business,50%~59%,50%~59%,S0,Neither,Agree,Strong Agree,Neither,Agree,Strong Disagree,Disagree,Strong Disagree,Neither,Neither,Neither,Agree,45+
21-25,M,PM,Business,60%~70%,50%~59%,S1,Strong Disagree,Neither,Strong Agree,Agree,Neither,Disagree,Neither,Disagree,Disagree,Neither,Agree,Agree,35-45
21-25,M,PM,Business,60%~70%,60%~70%,S0,Disagree,Agree,Agree,Neither,Agree,Neither,Neither,Disagree,Neither,Disagree,Agree,Neither,35-45
21-25,M,PM,Business,60%~70%,50%~59%,S0,Disagree,Disagree,Agree,Agree,Agree,Agree,Neither,Strong Disagree,Agree,Agree,Strong Agree,Strong Agree,35-45
21-25,F,PM,Business,50%~59%,60%~70%,S0,Disagree,Disagree,Agree,Neither,Agree,Agree,Agree,Disagree,Neither,Disagree,Neither,Agree,35-45
21-25,M,PM,Business,50%~59%,40%~49%,S3,Neither,Neither,Disagree,Agree,Neither,Agree,Disagree,Neither,Neither,Strong Disagree,Disagree,Neither,35-45
21-25,M,PM,Business,60%~70%,50%~59%,S1,Disagree,Disagree,Agree,Neither,Disagree,Disagree,Neither,Disagree,Disagree,Agree,Neither,Agree,35-45
31-35,F,PM,Business,50%~59%,50%~59%,S1,Agree,Disagree,Neither,Agree,Neither,Strong Agree,Agree,Agree,Disagree,Agree,Strong Agree,Agree,25-35
26-30,M,PM,Business,>70%,60%~70%,S0,Strong Disagree,Neither,Neither,Neither,Neither,Neither,Neither,Strong Disagree,Disagree,Strong Agree,Disagree,Neither,35-45
21-25,F,PM,Business,60%~70%,60%~70%,S1,Agree,Disagree,Disagree,Strong Agree,Disagree,Agree,Agree,Strong Disagree,Disagree,Strong Agree,Disagree,Disagree,25-35
26-30,F,PM,Business,60%~70%,>70%,S0,Disagree,Strong Disagree,Agree,Agree,Agree,Strong Disagree,Disagree,Strong Disagree,Agree,Neither,Disagree,Strong Agree,45+
21-25,M,PM,Business,60%~70%,50%~59%,S3,Disagree,Agree,Agree,Neither,Agree,Agree,Strong Agree,Agree,Strong Agree,Strong Disagree,Neither,Agree,35-45
18-20,F,PM,Business,50%~59%,60%~70%,S4,Disagree,Neither,Agree,Agree,Agree,Agree,Neither,Strong Disagree,Agree,Strong Agree,Neither,Agree,35-45
21-25,M,PM,Science and engineering,50%~59%,50%~59%,S0,Strong Disagree,Agree,Agree,Disagree,Strong Agree,Disagree,Neither,Strong Disagree,Disagree,Agree,Agree,Agree,35-45
21-25,M,PM,Business,60%~70%,>70%,S1,Agree,Agree,Agree,Agree,Agree,Neither,Agree,Disagree,Agree,Agree,Agree,Agree,35-45
21-25,F,FC,Business,50%~59%,60%~70%,S1,Agree,Neither,Neither,Agree,Neither,Disagree,Neither,Neither,Agree,Agree,Strong Agree,Disagree,25-35
21-25,F,IYO,Law/Legal studies,60%~70%,60%~70%,S1,Neither,Disagree,Agree,Agree,Agree,Disagree,Neither,Neither,Agree,Strong Agree,Disagree,Agree,35-45
31-35,M,FC,Business,60%~70%,>70%,S1,Neither,Strong Disagree,Neither,Neither,Agree,Disagree,Neither,Strong Disagree,Agree,Agree,Agree,Neither,35-45
26-30,F,PM,Computing,50%~59%,60%~70%,S3,Disagree,Agree,Agree,Strong Disagree,Strong Agree,Strong Disagree,Neither,Strong Disagree,Agree,Agree,Neither,Strong Agree,45+
21-25,F,FC,Science and engineering,50%~59%,50%~59%,S0,Strong Disagree,Disagree,Neither,Agree,Neither,Strong Agree,Strong Disagree,Disagree,Disagree,Neither,Neither,Neither,35-45
21-25,M,PM,Business,60%~70%,60%~70%,S0,Disagree,Agree,Agree,Agree,Neither,Agree,Neither,Strong Disagree,Neither,Neither,Disagree,Neither,35-45
21-25,M,PM,Business,60%~70%,>70%,S0,Neither,Agree,Strong Agree,Neither,Neither,Neither,Agree,Strong Disagree,Strong Disagree,Neither,Neither,Disagree,35-45
18-20,F,PM,Business,60%~70%,60%~70%,S1,Strong Disagree,Strong Agree,Strong Disagree,Strong Agree,Neither,Neither,Agree,Strong Disagree,Disagree,Neither,Disagree,Agree,35-45
>36,F,PM,Science and engineering,60%~70%,50%~59%,S0,Neither,Neither,Agree,Neither,Disagree,Disagree,Neither,Disagree,Neither,Agree,Agree,Neither,35-45
21-25,F,PM,Art and Design,60%~70%,60%~70%,S1,Strong Agree,Neither,Agree,Neither,Agree,Neither,Neither,Neither,Neither,Neither,Neither,Neither,35-45
21-25,M,PM,Business,50%~59%,60%~70%,S1,Disagree,Neither,Agree,Agree,Neither,Disagree,Agree,Strong Disagree,Agree,Disagree,Disagree,Agree,35-45
21-25,F,FC,Business,40%~49%,50%~59%,S0,Disagree,Agree,Agree,Disagree,Disagree,Neither,Agree,Strong Disagree,Disagree,Strong Disagree,Strong Agree,Agree,35-45
21-25,M,PM,Business,60%~70%,60%~70%,S3,Disagree,Agree,Agree,Agree,Neither,Neither,Agree,Neither,Disagree,Neither,Agree,Disagree,25-35
21-25,M,PM,Business,50%~59%,50%~59%,S0,Disagree,Agree,Agree,Agree,Disagree,Neither,Disagree,Strong Disagree,Disagree,Neither,Disagree,Disagree,35-45
21-25,F,PM,Science and engineering,50%~59%,50%~59%,S2,Strong Agree,Neither,Strong Disagree,Agree,Agree,Neither,Strong Agree,Strong Disagree,Agree,Agree,Disagree,Disagree,25-35
18-20,F,PM,Business,>70%,60%~70%,S0,Disagree,Neither,Disagree,Agree,Neither,Disagree,Agree,Strong Disagree,Disagree,Strong Agree,Agree,Strong Disagree,25-35
26-30,M,IYO,Business,60%~70%,60%~70%,S0,Strong Agree,Agree,Agree,Neither,Neither,Agree,Agree,Strong Disagree,Agree,Neither,Disagree,Agree,35-45
<18,F,PM,Business,50%~59%,60%~70%,S0,Disagree,Neither,Agree,Neither,Disagree,Agree,Agree,Neither,Disagree,Neither,Disagree,Disagree,25-35
21-25,F,PM,Business,50%~59%,50%~59%,S4,Neither,Disagree,Agree,Neither,Neither,Disagree,Neither,Neither,Neither,Agree,Agree,Disagree,25-35
21-25,F,PM,Business,60%~70%,60%~70%,S1,Disagree,Agree,Strong Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neither,Disagree,Disagree,35-45
18-20,F,FC,Business,60%~70%,50%~59%,S0,Agree,Disagree,Neither,Agree,Disagree,Disagree,Agree,Neither,Agree,Neither,Neither,Disagree,25-35
21-25,F,FC,Business,60%~70%,60%~70%,S0,Agree,Neither,Neither,Neither,Neither,Disagree,Neither,Agree,Agree,Neither,Agree,Agree,35-45
21-25,F,FC,Business,60%~70%,50%~59%,S0,Disagree,Agree,Agree,Neither,Neither,Neither,Agree,Strong Disagree,Agree,Neither,Agree,Disagree,35-45
21-25,F,IYO,Business,50%~59%,60%~70%,S0,Strong Disagree,Strong Agree,Agree,Agree,Disagree,Strong Disagree,Agree,Disagree,Neither,Disagree,Agree,Agree,35-45
21-25,M,PM,Business,60%~70%,60%~70%,S0,Disagree,Neither,Disagree,Neither,Neither,Neither,Agree,Agree,Strong Agree,Neither,Disagree,Agree,35-45
18-20,M,FC,Business,50%~59%,50%~59%,S0,Disagree,Agree,Agree,Neither,Disagree,Disagree,Neither,Neither,Disagree,Agree,Agree,Neither,35-45
21-25,F,IYO,Business,60%~70%,60%~70%,S0,Neither,Disagree,Agree,Neither,Agree,Neither,Agree,Strong Disagree,Agree,Strong Agree,Agree,Neither,35-45
21-25,M,PM,Social Sciences and Humanities,50%~59%,50%~59%,S0,Strong Agree,Neither,Agree,Neither,Agree,Strong Disagree,Agree,Disagree,Neither,Neither,Agree,Disagree,35-45
21-25,M,PM,Business,60%~70%,50%~59%,S0,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neither,Neither,Disagree,Disagree,35-45
26-30,F,PM,Business,50%~59%,50%~59%,S0,Neither,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strong Disagree,Strong Agree,Neither,35-45
>36,M,PM,Business,50%~59%,60%~70%,S0,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Neither,Disagree,Agree,35-45
18-20,M,PM,Business,60%~70%,50%~59%,S0,Neither,Neither,Neither,Agree,Agree,Disagree,Neither,Neither,Agree,Disagree,Neither,Neither,35-45
21-25,M,PM,Social Sciences and Humanities,40%~49%,40%~49%,S3,Neither,Agree,Neither,Agree,Neither,Disagree,Agree,Strong Disagree,Agree,Agree,Neither,Disagree,35-45
21-25,M,PM,Business,50%~59%,50%~59%,S0,Strong Disagree,Neither,Agree,Agree,Neither,Disagree,Neither,Disagree,Disagree,Strong Agree,Neither,Strong Agree,35-45
21-25,M,PM,Business,60%~70%,60%~70%,S2,Strong Disagree,Agree,Agree,Agree,Agree,Agree,Neither,Strong Disagree,Neither,Neither,Agree,Disagree,35-45
21-25,M,PM,Science and engineering,50%~59%,50%~59%,S0,Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Disagree,Neither,Disagree,Strong Agree,Neither,Neither,Disagree,35-45
21-25,M,PM,Business,60%~70%,50%~59%,S2,Agree,Disagree,Disagree,Neither,Neither,Neither,Disagree,Disagree,Neither,Agree,Neither,Strong Disagree,25-35
21-25,M,FC,Business,50%~59%,60%~70%,S0,Neither,Neither,Agree,Agree,Neither,Neither,Agree,Disagree,Neither,Strong Agree,Agree,Agree,25-35
21-25,M,PM,Business,50%~59%,50%~59%,S1,Disagree,Disagree,Agree,Agree,Agree,Neither,Neither,Strong Disagree,Disagree,Strong Agree,Neither,Agree,35-45
18-20,F,PM,Social Sciences and Humanities,60%~70%,60%~70%,S0,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strong Disagree,Disagree,Strong Agree,Strong Agree,Agree,35-45
21-25,M,IYO,Business,60%~70%,50%~59%,S0,Agree,Disagree,Agree,Agree,Disagree,Agree,Neither,Disagree,Agree,Neither,Agree,Agree,25-35
18-20,F,PM,Media and Communications,>70%,60%~70%,S0,Agree,Agree,Strong Disagree,Disagree,Agree,Disagree,Strong Disagree,Disagree,Strong Agree,Strong Disagree,Neither,Disagree,35-45
18-20,M,IYO,Law/Legal studies,50%~59%,50%~59%,S2,Disagree,Agree,Neither,Agree,Neither,Agree,Agree,Strong Disagree,Disagree,Neither,Agree,Agree,35-45
21-25,M,PM,Business,60%~70%,40%~49%,S1,Disagree,Neither,Neither,Agree,Strong Disagree,Neither,Disagree,Strong Disagree,Neither,Agree,Neither,Disagree,35-45
21-25,M,FC,Business,50%~59%,60%~70%,S0,Strong Disagree,Neither,Agree,Neither,Agree,Agree,Neither,Disagree,Neither,Neither,Disagree,Neither,35-45
21-25,F,Language,Business,60%~70%,60%~70%,S3,Agree,Neither,Agree,Agree,Neither,Disagree,Agree,Disagree,Agree,Neither,Neither,Strong Agree,35-45
21-25,F,PM,Business,60%~70%,<40%,S1,Disagree,Agree,Neither,Agree,Agree,Agree,Agree,Strong Disagree,Neither,Disagree,Strong Agree,Strong Agree,35-45
21-25,F,FC,Business,60%~70%,50%~59%,S0,Neither,Neither,Agree,Agree,Neither,Disagree,Neither,Disagree,Agree,Neither,Agree,Disagree,35-45
21-25,F,PM,Business,>70%,60%~70%,S1,Agree,Agree,Neither,Agree,Neither,Neither,Neither,Disagree,Agree,Neither,Agree,Neither,35-45
21-25,M,PM,Business,60%~70%,50%~59%,S0,Agree,Neither,Neither,Agree,Agree,Agree,Agree,Neither,Neither,Neither,Neither,Disagree,25-35
21-25,F,PM,Business,>70%,60%~70%,S3,Neither,Disagree,Agree,Disagree,Neither,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,35-45
21-25,M,PM,Computing,50%~59%,>70%,S0,Disagree,Neither,Agree,Agree,Neither,Disagree,Neither,Disagree,Disagree,Strong Agree,Agree,Agree,35-45
21-25,M,PM,Business,60%~70%,50%~59%,S2,Strong Disagree,Disagree,Agree,Agree,Neither,Disagree,Neither,Disagree,Disagree,Neither,Disagree,Disagree,35-45
21-25,F,IYO,Business,60%~70%,50%~59%,S3,Disagree,Disagree,Strong Disagree,Neither,Strong Disagree,Agree,Neither,Neither,Agree,Agree,Disagree,Agree,25-35
21-25,M,PM,Business,60%~70%,50%~59%,S0,Neither,Agree,Agree,Agree,Disagree,Neither,Neither,Strong Disagree,Neither,Neither,Agree,Disagree,35-45
21-25,F,FC,Business,50%~59%,50%~59%,S0,Agree,Disagree,Agree,Agree,Agree,Neither,Agree,Strong Disagree,Neither,Agree,Neither,Agree,35-45
21-25,M,PM,Business,50%~59%,60%~70%,S0,Disagree,Neither,Disagree,Agree,Agree,Agree,Agree,Neither,Neither,Neither,Strong Agree,Neither,25-35
21-25,M,IYO,Business,60%~70%,60%~70%,S0,Strong Disagree,Agree,Agree,Neither,Neither,Agree,Neither,Strong Disagree,Agree,Strong Agree,Neither,Agree,35-45
21-25,M,PM,Business,40%~49%,60%~70%,S0,Disagree,Agree,Neither,Neither,Neither,Agree,Neither,Disagree,Agree,Agree,Neither,Neither,35-45
21-25,M,FC,Business,50%~59%,50%~59%,S0,Disagree,Neither,Strong Disagree,Agree,Agree,Strong Disagree,Neither,Disagree,Agree,Neither,Disagree,Strong Agree,35-45
21-25,F,PM,Business,60%~70%,60%~70%,S0,Disagree,Agree,Neither,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neither,Agree,Neither,35-45
