Number,Age,Gender,Nationality,Program,Course,English,Academic,Attendance,6,7,8,9,10,11,12,13,14,15,16,17,Scores,Score Range
83,18-20,F,Turkey,FC,Art and Design,60%~70%,60%~70%,S0,Strong Disagree,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Disagree,Neither,Strong Disagree,Neither,Agree,Neither,Disagree,45,45+
84,18-20,F,Zimbabwe,FC,Law/Legal studies,>70%,>70%,S0,Neither,Neither,Neither,Neither,Agree,Neither,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,37,35-45
85,18-20,F,Pakistan,FC,Law/Legal studies,>70%,>70%,S0,Disagree,Disagree,Agree,Neither,Disagree,Disagree,Neither,Disagree,Agree,Disagree,Disagree,Neither,41,35-45
86,18-20,F,China,FC,Social Sciences and Humanities,50%~59%,60%~70%,S0,Agree,Disagree,Neither,Agree,Neither,Agree,Neither,Strong Agree,Disagree,Strong Agree,Disagree,Strong Disagree,26,25-35
87,18-20,F,Qatar,FC,Social Sciences and Humanities,60%~70%,,S0,Strong Disagree,Disagree,Strong Agree,Disagree,Disagree,Strong Disagree,Neither,Strong Disagree,Agree,Agree,Strong Agree,Strong Disagree,39,35-45
88,18-20,F,Thailand,FC,Business,60%~70%,,S0,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,36,35-45
89,18-20,F,China,FC,Business,60%~70%,,S1,Neither,Neither,Neither,Neither,Agree,Agree,Neither,Neither,Strong Agree,Neither,Strong Disagree,Neither,40,35-45
90,18-20,F,Indonesia,FC,Social Sciences and Humanities,>70%,,S0,Neither,Agree,Neither,Disagree,Strong Disagree,Strong Disagree,Neither,Strong Disagree,Agree,Neither,Neither,Disagree,40,35-45
91,21-25,F,Korea,PM,Art and Design,60%~70%,,S0,Disagree,Agree,Agree,Agree,Agree,Neither,Neither,Agree,Agree,Disagree,Disagree,Agree,42,35-45
92,21-25,F,China,PM,Business,50%~59%,50%~59%,S1,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,30,25-35
93,21-25,F,China,PM,Business,50%~59%,50%~59%,S1,Disagree,Disagree,Agree,Agree,Neither,Disagree,Disagree,Disagree,Neither,Strong Agree,Agree,Agree,37,35-45
94,21-25,F,Tanzania,PM,Business,,,,Strong Disagree,Agree,Agree,Disagree,Strong Disagree,Neither,Neither,Strong Disagree,Agree,Neither,Disagree,Agree,44,35-45
95,21-25,F,China,PM,Art and Design,50%~59%,60%~70%,S2,Disagree,Neither,Neither,Neither,Neither,Disagree,Neither,Disagree,Agree,Neither,Neither,Neither,40,35-45
96,21-25,F,China,PM,Business,50%~59%,50%~59%,S1,Disagree,Agree,Agree,,Agree,,Neither,Disagree,Disagree,Disagree,Strong Disagree,Disagree,,
97,21-25,F,Korea,PM,Business,,,,Disagree,Agree,Strong Agree,Neither,Strong Agree,Strong Disagree,Agree,Disagree,Neither,Disagree,Disagree,Agree,47,45+
98,21-25,F,China,PM,Business,60%~70%,60%~70%,S0,Disagree,Strong Disagree,Strong Agree,Disagree,Agree,Disagree,Disagree,Strong Disagree,Agree,Agree,Disagree,Disagree,43,35-45
99,21-25,F,China,PM,Business,50%~59%,50%~59%,S0,Agree,Strong Agree,Agree,Neither,Agree,Disagree,Strong Agree,Disagree,Agree,Neither,Neither,Agree,41,35-45
100,21-25,F,China,PM,Business,,,,Disagree,Agree,Agree,,Agree,Disagree,Neither,Disagree,Neither,Disagree,Disagree,Agree,,
101,21-25,F,China,PM,Business,>70%,60%~70%,S4,Strong Disagree,Strong Agree,Strong Agree,Strong Disagree,Strong Agree,Disagree,Strong Disagree,Disagree,Strong Agree,Strong Disagree,Agree,Strong Agree,55,45+
102,21-25,F,Trinidad and Tobago,PM,Social Sciences and Humanities,>70%,>70%,S2,Neither,Disagree,Neither,Agree,Agree,Disagree,Neither,Strong Disagree,Strong Agree,Neither,Agree,Agree,40,35-45
103,21-25,F,China,PM,Business,50%~59%,50%~59%,S1,Disagree,Neither,,Neither,Neither,Neither,Neither,Strong Disagree,Neither,Neither,Neither,Neither,,
104,21-25,F,China,PM,Business,50%~59%,60%~70%,S0,Disagree,Neither,Agree,Neither,Agree,Strong Disagree,Agree,Neither,Agree,Disagree,Agree,Neither,41,35-45
105,21-25,F,China,PM,Business,50%~59%,50%~59%,S0,Disagree,Strong Disagree,Disagree,,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,,
106,21-25,F,China,PM,Business,60%~70%,60%~70%,S0,Disagree,Agree,Disagree,Neither,Agree,Agree,Disagree,Disagree,Neither,Neither,Disagree,Agree,41,35-45
107,21-25,F,China,PM,Business,60%~70%,60%~70%,S0,Disagree,Neither,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neither,Agree,42,35-45
108,21-25,F,China,PM,Business,60%~70%,50%~59%,S0,Neither,Disagree,Agree,Neither,Agree,Neither,Agree,Neither,Disagree,Agree,Agree,Agree,34,25-35
109,21-25,F,China,PM,Business,40%~49%,,S0,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Neither,Strong Disagree,Neither,Agree,39,35-45
110,21-25,F,China,PM,Business,60%~70%,60%~70%,S0,Neither,Disagree,Agree,Agree,Agree,Agree,Neither,Neither,Disagree,Agree,Neither,Disagree,32,25-35
111,21-25,F,China,PM,Law/Legal studies,,,,Strong Disagree,Disagree,Disagree,Neither,Agree,Agree,Neither,Disagree,Disagree,Disagree,Neither,Disagree,36,35-45
112,31-35,F,Korea,PM,Social Sciences and Humanities,,,,Strong Agree,Disagree,Neither,Agree,Neither,Strong Agree,Agree,Strong Disagree,Disagree,Disagree,Disagree,Strong Disagree,30,25-35
113,>36,F,Colombia,IYO,Social Sciences and Humanities,40%~49%,40%~49%,S3,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,36,35-45
114,21-25,F,China,PM,Business,50%~59%,60%~70%,S0,Disagree,Disagree,Agree,Disagree,Neither,Disagree,Disagree,Strong Disagree,Disagree,Agree,Disagree,Agree,42,35-45
115,18-20,F,China,PM,Business,50%~59%,50%~59%,S0,Neither,Agree,Strong Agree,Neither,Agree,Strong Disagree,Disagree,Strong Disagree,Neither,Neither,Neither,Agree,46,45+
116,21-25,M,China,PM,Business,60%~70%,50%~59%,S1,Strong Disagree,Neither,Strong Agree,Agree,Neither,Disagree,Neither,Disagree,Disagree,Neither,Agree,Agree,40,35-45
117,21-25,M,China,PM,Business,60%~70%,60%~70%,S0,Disagree,Agree,Agree,Neither,Agree,Neither,Neither,Disagree,Neither,Disagree,Agree,Neither,41,35-45
118,21-25,M,China,PM,Business,60%~70%,50%~59%,S0,Disagree,Disagree,Agree,Agree,Agree,Agree,Neither,Strong Disagree,Agree,Agree,Strong Agree,Strong Agree,38,35-45
119,21-25,F,China,PM,Business,50%~59%,60%~70%,S0,Disagree,Disagree,Agree,Neither,Agree,Agree,Agree,Disagree,Neither,Disagree,Neither,Agree,40,35-45
120,21-25,M,China,PM,Business,50%~59%,40%~49%,S3,Neither,Neither,Disagree,Agree,Neither,Agree,Disagree,Neither,Neither,Strong Disagree,Disagree,Neither,37,35-45
121,21-25,M,China,PM,Business,60%~70%,50%~59%,S1,Disagree,Disagree,Agree,Neither,Disagree,Disagree,Neither,Disagree,Disagree,Agree,Neither,Agree,37,35-45
122,31-35,F,China,PM,Business,50%~59%,50%~59%,S1,Agree,Disagree,Neither,Agree,Neither,Strong Agree,Agree,Agree,Disagree,Agree,Strong Agree,Agree,26,25-35
123,26-30,M,Gongo,PM,Business,>70%,60%~70%,S0,Strong Disagree,Neither,Neither,Neither,Neither,Neither,Neither,Strong Disagree,Disagree,Strong Agree,Disagree,Neither,38,35-45
124,21-25,F,Ukraine,PM,Business,60%~70%,60%~70%,S1,Agree,Disagree,Disagree,Strong Agree,Disagree,Agree,Agree,Strong Disagree,Disagree,Strong Agree,Disagree,Disagree,27,25-35
125,26-30,F,Korea,PM,Business,60%~70%,>70%,S0,Disagree,Strong Disagree,Agree,Agree,Agree,Strong Disagree,Disagree,Strong Disagree,Agree,Neither,Disagree,Strong Agree,45,45+
